Year,Country,GDP per capita (current US$),"Life expectancy at birth, total (years)","Population, total",Country Code,Region,Income Group,Lending Type
2016,Costa Rica,11899.8139833748,79.459,4945205.0,CRI,Latin America & Caribbean ,Upper middle income,IBRD
2017,Costa Rica,12118.1336248174,79.377,4993842.0,CRI,Latin America & Caribbean ,Upper middle income,IBRD
2018,Costa Rica,12383.1499522763,79.484,5040734.0,CRI,Latin America & Caribbean ,Upper middle income,IBRD
2019,Costa Rica,12669.3411549351,79.427,5084532.0,CRI,Latin America & Caribbean ,Upper middle income,IBRD
2020,Costa Rica,12179.2566735195,79.277,5123105.0,CRI,Latin America & Caribbean ,Upper middle income,IBRD
2021,Costa Rica,12604.0488374731,77.023,5153957.0,CRI,Latin America & Caribbean ,Upper middle income,IBRD
2022,Costa Rica,13365.3563992692,,5180829.0,CRI,Latin America & Caribbean ,Upper middle income,IBRD
2004,Cote d'Ivoire,1267.76482295105,51.363,18544903.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2005,Cote d'Ivoire,1267.08731129988,51.824,18970215.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2006,Cote d'Ivoire,1303.56496674267,52.355,19394057.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2007,Cote d'Ivoire,1451.232530741,52.97,19817700.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2008,Cote d'Ivoire,1683.33750453768,53.653,20244449.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2009,Cote d'Ivoire,1638.80468426443,54.394,20677762.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2010,Cote d'Ivoire,1654.17795876208,55.023,21120042.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2011,Cote d'Ivoire,1701.7046408106,55.52,21562914.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2012,Cote d'Ivoire,1649.3016148365,56.158,22010712.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2013,Cote d'Ivoire,1903.05422934098,56.748,22469268.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2014,Cote d'Ivoire,2124.01943008462,57.208,22995555.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2015,Cote d'Ivoire,1941.58189772117,57.762,23596741.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2016,Cote d'Ivoire,1999.19537159383,58.06,24213622.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2017,Cote d'Ivoire,2113.34152528591,58.48,24848016.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2018,Cote d'Ivoire,2295.54033462887,58.849,25493988.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2019,Cote d'Ivoire,2290.78737894927,59.319,26147551.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2020,Cote d'Ivoire,2349.06988200418,59.032,26811790.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2021,Cote d'Ivoire,2613.3788930684,58.598,27478249.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2022,Cote d'Ivoire,2486.41219394248,,28160542.0,CIV,Sub-Saharan Africa ,Lower middle income,IDA
2004,Croatia,9723.38102385632,75.520243902439,4304600.0,HRV,Europe & Central Asia,High income,IBRD
2005,Croatia,10446.3614889222,75.2446341463415,4310145.0,HRV,Europe & Central Asia,High income,IBRD
2006,Croatia,11505.399839938,75.8368292682927,4311159.0,HRV,Europe & Central Asia,High income,IBRD
2007,Croatia,13762.4562630334,75.7056097560976,4310217.0,HRV,Europe & Central Asia,High income,IBRD
2008,Croatia,15898.7998960876,75.9121951219512,4309705.0,HRV,Europe & Central Asia,High income,IBRD
2009,Croatia,14421.1714758536,76.1682926829268,4305181.0,HRV,Europe & Central Asia,High income,IBRD
2010,Croatia,13693.5000292691,76.4756097560976,4295427.0,HRV,Europe & Central Asia,High income,IBRD
2011,Croatia,14655.8743881973,76.7756097560976,4280622.0,HRV,Europe & Central Asia,High income,IBRD
2012,Croatia,13439.6645555189,76.9243902439024,4267558.0,HRV,Europe & Central Asia,High income,IBRD
2013,Croatia,13979.1855602956,77.1268292682927,4255689.0,HRV,Europe & Central Asia,High income,IBRD
2014,Croatia,14001.1603438958,77.4780487804878,4238389.0,HRV,Europe & Central Asia,High income,IBRD
2015,Croatia,12098.5120254631,77.2756097560976,4203604.0,HRV,Europe & Central Asia,High income,IBRD
2016,Croatia,12579.9227031481,78.0219512195122,4174349.0,HRV,Europe & Central Asia,High income,IBRD
2017,Croatia,13592.2545240617,77.8268292682927,4124531.0,HRV,Europe & Central Asia,High income,IBRD
2018,Croatia,15040.0369182791,78.0707317073171,4087843.0,HRV,Europe & Central Asia,High income,IBRD
2019,Croatia,15120.9029026824,78.4243902439025,4065253.0,HRV,Europe & Central Asia,High income,IBRD
2020,Croatia,14269.9088549332,77.7243902439024,4047680.0,HRV,Europe & Central Asia,High income,IBRD
2021,Croatia,17809.0323901126,76.4243902439025,3879000.0,HRV,Europe & Central Asia,High income,IBRD
2022,Croatia,18570.4039968345,,3855600.0,HRV,Europe & Central Asia,High income,IBRD
2004,Cuba,3403.29616311163,76.912,11225294.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2005,Cuba,3791.87300608904,77.047,11246114.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2006,Cuba,4336.87332999361,77.179,11260630.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2007,Cuba,4814.85487568512,77.307,11269887.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2008,Cuba,4992.82449445836,77.429,11276609.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2009,Cuba,5094.43756186586,77.548,11283185.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2010,Cuba,5275.53260105122,77.661,11290417.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2011,Cuba,6106.0067919258,77.76,11298710.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2012,Cuba,6467.33791422804,77.833,11309290.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2013,Cuba,6814.24384354868,77.87,11321579.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2014,Cuba,7117.53573456326,77.853,11332026.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2015,Cuba,7683.74025365669,77.772,11339894.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2016,Cuba,8055.92586780018,77.643,11342012.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2017,Cuba,8543.33006731328,77.529,11336405.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2018,Cuba,8831.91040872027,77.496,11328244.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2019,Cuba,9139.38051005519,77.611,11316697.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2020,Cuba,9499.57250428248,77.567,11300698.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2021,Cuba,48436.3789682857,73.683,11256372.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2022,Cuba,56495.8534866201,,11212191.0,CUB,Latin America & Caribbean ,Upper middle income,Not classified
2004,Curacao,,73.4289268292683,134192.0,CUW,Latin America & Caribbean ,High income,Not classified
2005,Curacao,,73.5657073170732,137658.0,CUW,Latin America & Caribbean ,High income,Not classified
2006,Curacao,,74.709756097561,141239.0,CUW,Latin America & Caribbean ,High income,Not classified
2007,Curacao,,75.3634146341464,144056.0,CUW,Latin America & Caribbean ,High income,Not classified
2008,Curacao,,75.309756097561,145880.0,CUW,Latin America & Caribbean ,High income,Not classified
2009,Curacao,,76.1560975609756,146833.0,CUW,Latin America & Caribbean ,High income,Not classified
2010,Curacao,,,148703.0,CUW,Latin America & Caribbean ,High income,Not classified
2011,Curacao,19426.3264002202,77.4731707317073,150831.0,CUW,Latin America & Caribbean ,High income,Not classified
2012,Curacao,19809.8223170482,77.5243902439024,152088.0,CUW,Latin America & Caribbean ,High income,Not classified
2013,Curacao,19721.292182955,77.8268292682927,153822.0,CUW,Latin America & Caribbean ,High income,Not classified
2014,Curacao,19623.0300713664,77.9756097560976,155909.0,CUW,Latin America & Caribbean ,High income,Not classified
2015,Curacao,19361.8129630226,78.0756097560976,157980.0,CUW,Latin America & Caribbean ,High income,Not classified
2016,Curacao,18944.0962772875,77.719512195122,159664.0,CUW,Latin America & Caribbean ,High income,Not classified
2017,Curacao,18938.2440965187,78.0170731707317,160175.0,CUW,Latin America & Caribbean ,High income,Not classified
2018,Curacao,19119.1244887029,,159336.0,CUW,Latin America & Caribbean ,High income,Not classified
2019,Curacao,19220.6865793075,,157441.0,CUW,Latin America & Caribbean ,High income,Not classified
2020,Curacao,16356.0933254541,,154947.0,CUW,Latin America & Caribbean ,High income,Not classified
2021,Curacao,17979.9982909306,,152369.0,CUW,Latin America & Caribbean ,High income,Not classified
2022,Curacao,20501.7522782219,,149996.0,CUW,Latin America & Caribbean ,High income,Not classified
2004,Cyprus,23792.62109375,77.944,1018684.0,CYP,Europe & Central Asia,High income,Not classified
2005,Cyprus,24959.259765625,78.101,1037062.0,CYP,Europe & Central Asia,High income,Not classified
2006,Cyprus,26729.32421875,78.371,1055438.0,CYP,Europe & Central Asia,High income,Not classified
2007,Cyprus,31244.92578125,78.81,1073873.0,CYP,Europe & Central Asia,High income,Not classified
2008,Cyprus,35397.36328125,78.981,1092390.0,CYP,Europe & Central Asia,High income,Not classified
2009,Cyprus,32109.2421875,79.401,1110974.0,CYP,Europe & Central Asia,High income,Not classified
2010,Cyprus,31023.267578125,79.665,1129686.0,CYP,Europe & Central Asia,High income,Not classified
2011,Cyprus,32395.75390625,79.999,1145086.0,CYP,Europe & Central Asia,High income,Not classified
2012,Cyprus,28910.74609375,80.109,1156556.0,CYP,Europe & Central Asia,High income,Not classified
2013,Cyprus,27727.53515625,80.402,1166968.0,CYP,Europe & Central Asia,High income,Not classified
2014,Cyprus,27162.322265625,80.771,1176995.0,CYP,Europe & Central Asia,High income,Not classified
2015,Cyprus,23408.44140625,80.966,1187280.0,CYP,Europe & Central Asia,High income,Not classified
2016,Cyprus,24605.349609375,81.056,1197881.0,CYP,Europe & Central Asia,High income,Not classified
2017,Cyprus,26608.6953125,81.328,1208523.0,CYP,Europe & Central Asia,High income,Not classified
2018,Cyprus,29335.046875,81.382,1218831.0,CYP,Europe & Central Asia,High income,Not classified
2019,Cyprus,29420.0,81.397,1228836.0,CYP,Europe & Central Asia,High income,Not classified
2020,Cyprus,28281.42578125,81.391,1237537.0,CYP,Europe & Central Asia,High income,Not classified
2021,Cyprus,32745.84375,81.203,1244188.0,CYP,Europe & Central Asia,High income,Not classified
2022,Cyprus,32048.240234375,,1251488.0,CYP,Europe & Central Asia,High income,Not classified
2004,Czechia,11749.8526643577,75.7219512195122,10197101.0,CZE,Europe & Central Asia,High income,Not classified
2005,Czechia,13430.6698955613,75.9243902439025,10211216.0,CZE,Europe & Central Asia,High income,Not classified
2006,Czechia,15261.7975911138,76.5243902439024,10238905.0,CZE,Europe & Central Asia,High income,Not classified
2007,Czechia,18466.5479299216,76.7243902439025,10298828.0,CZE,Europe & Central Asia,High income,Not classified
2008,Czechia,22804.5776774507,76.9756097560976,10384603.0,CZE,Europe & Central Asia,High income,Not classified
2009,Czechia,19861.6974295256,77.0780487804878,10443936.0,CZE,Europe & Central Asia,High income,Not classified
2010,Czechia,19960.0684872157,77.4243902439025,10474410.0,CZE,Europe & Central Asia,High income,Not classified
2011,Czechia,21871.2660754128,77.8731707317073,10496088.0,CZE,Europe & Central Asia,High income,Not classified
2012,Czechia,19870.8012123403,78.0756097560976,10510785.0,CZE,Europe & Central Asia,High income,Not classified
2013,Czechia,20133.1691431353,78.1756097560976,10514272.0,CZE,Europe & Central Asia,High income,Not classified
2014,Czechia,19890.9199056648,78.8243902439024,10525347.0,CZE,Europe & Central Asia,High income,Not classified
2015,Czechia,17829.6983223668,78.5780487804878,10546059.0,CZE,Europe & Central Asia,High income,Not classified
2016,Czechia,18575.2320271915,79.0268292682927,10566332.0,CZE,Europe & Central Asia,High income,Not classified
2017,Czechia,20636.199952435,78.9780487804878,10594438.0,CZE,Europe & Central Asia,High income,Not classified
2018,Czechia,23424.4804601855,79.0292682926829,10629928.0,CZE,Europe & Central Asia,High income,Not classified
2019,Czechia,23664.8478631108,79.2292682926829,10671870.0,CZE,Europe & Central Asia,High income,Not classified
2020,Czechia,22992.8793833348,78.2268292682927,10697858.0,CZE,Europe & Central Asia,High income,Not classified
2021,Czechia,26822.5141862111,77.3731707317073,10505772.0,CZE,Europe & Central Asia,High income,Not classified
2022,Czechia,27223.0451937676,,10672118.0,CZE,Europe & Central Asia,High income,Not classified
2004,Denmark,46511.5983324305,77.4926829268293,5404523.0,DNK,Europe & Central Asia,High income,Not classified
2005,Denmark,48799.8256011275,77.8439024390244,5419432.0,DNK,Europe & Central Asia,High income,Not classified
2006,Denmark,52026.9995142723,78.0951219512195,5437272.0,DNK,Europe & Central Asia,High income,Not classified
2007,Denmark,58487.0549677696,78.1951219512195,5461438.0,DNK,Europe & Central Asia,High income,Not classified
2008,Denmark,64322.0635020842,78.4463414634146,5493621.0,DNK,Europe & Central Asia,High income,Not classified
2009,Denmark,58163.2768762815,78.5975609756098,5523095.0,DNK,Europe & Central Asia,High income,Not classified
2010,Denmark,58041.3984363385,79.1,5547683.0,DNK,Europe & Central Asia,High income,Not classified
2011,Denmark,61753.647131977,79.8,5570572.0,DNK,Europe & Central Asia,High income,Not classified
2012,Denmark,58507.5080517852,80.0512195121951,5591572.0,DNK,Europe & Central Asia,High income,Not classified
2013,Denmark,61191.1937042028,80.3,5614932.0,DNK,Europe & Central Asia,High income,Not classified
2014,Denmark,62548.9847332908,80.7,5643475.0,DNK,Europe & Central Asia,High income,Not classified
2015,Denmark,53254.8563700916,80.7024390243902,5683483.0,DNK,Europe & Central Asia,High income,Not classified
2016,Denmark,54663.9983719195,80.8536585365854,5728010.0,DNK,Europe & Central Asia,High income,Not classified
2017,Denmark,57610.0981801135,81.1024390243903,5764980.0,DNK,Europe & Central Asia,High income,Not classified
2018,Denmark,61591.9288698958,80.9536585365854,5793636.0,DNK,Europe & Central Asia,High income,Not classified
2019,Denmark,59592.9806886454,81.4512195121951,5814422.0,DNK,Europe & Central Asia,High income,Not classified
2020,Denmark,60836.5924121638,81.6024390243903,5831404.0,DNK,Europe & Central Asia,High income,Not classified
2021,Denmark,69268.6517983134,81.4048780487805,5856733.0,DNK,Europe & Central Asia,High income,Not classified
2022,Denmark,67790.0539923276,,5903037.0,DNK,Europe & Central Asia,High income,Not classified
2004,Djibouti,813.897943575246,57.759,818373.0,DJI,Middle East & North Africa,Lower middle income,IDA
2005,Djibouti,852.890188282475,58.316,830861.0,DJI,Middle East & North Africa,Lower middle income,IDA
2006,Djibouti,907.817943782596,58.715,846947.0,DJI,Middle East & North Africa,Lower middle income,IDA
2007,Djibouti,980.031032399576,59.024,865196.0,DJI,Middle East & North Africa,Lower middle income,IDA
2008,Djibouti,1131.63572564038,59.365,882886.0,DJI,Middle East & North Africa,Lower middle income,IDA
2009,Djibouti,1164.25168346453,59.673,901103.0,DJI,Middle East & North Africa,Lower middle income,IDA
2010,Djibouti,1227.82085311429,60.259,919199.0,DJI,Middle East & North Africa,Lower middle income,IDA
2011,Djibouti,1322.72625083956,60.433,936811.0,DJI,Middle East & North Africa,Lower middle income,IDA
2012,Djibouti,1418.46085811933,60.848,954297.0,DJI,Middle East & North Africa,Lower middle income,IDA
2013,Djibouti,2102.19794830208,61.221,971753.0,DJI,Middle East & North Africa,Lower middle income,IDA
2014,Djibouti,2239.11453821208,61.641,989087.0,DJI,Middle East & North Africa,Lower middle income,IDA
2015,Djibouti,2409.31190224284,61.957,1006259.0,DJI,Middle East & North Africa,Lower middle income,IDA
2016,Djibouti,2545.73879850905,62.191,1023261.0,DJI,Middle East & North Africa,Lower middle income,IDA
2017,Djibouti,2655.73321960188,62.797,1040233.0,DJI,Middle East & North Africa,Lower middle income,IDA
2018,Djibouti,2755.83829341814,63.038,1057198.0,DJI,Middle East & North Africa,Lower middle income,IDA
2019,Djibouti,2876.04366371536,63.085,1073994.0,DJI,Middle East & North Africa,Lower middle income,IDA
2020,Djibouti,2921.73870623293,62.694,1090156.0,DJI,Middle East & North Africa,Lower middle income,IDA
2021,Djibouti,3062.55148207643,62.305,1105557.0,DJI,Middle East & North Africa,Lower middle income,IDA
2022,Djibouti,3136.11276804873,,1120849.0,DJI,Middle East & North Africa,Lower middle income,IDA
2004,Dominica,5354.79919503019,72.401,68574.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2005,Dominica,5304.12609656574,72.254,68674.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2006,Dominica,5677.05117470908,72.848,68742.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2007,Dominica,6126.84949580624,71.93,68775.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2008,Dominica,6661.46504737997,73.305,68782.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2009,Dominica,7109.9782527814,72.17,68787.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2010,Dominica,7182.40020254419,71.55,68755.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2011,Dominica,7288.49794777466,69.695,68742.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2012,Dominica,7054.87597689432,70.538,68888.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2013,Dominica,7240.67911908479,68.896,68819.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2014,Dominica,7502.12090974081,69.434,69371.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2015,Dominica,7724.04241057376,68.727,70007.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2016,Dominica,8223.04145029796,70.128,70075.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2017,Dominica,7408.09130082314,67.525,70403.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2018,Dominica,7833.19501250117,73.59,70823.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2019,Dominica,8561.58701121461,73.559,71428.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2020,Dominica,7003.46989117043,73.649,71995.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2021,Dominica,7668.15813216962,72.814,72412.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2022,Dominica,8351.19321309293,,72737.0,DMA,Latin America & Caribbean ,Upper middle income,Blend
2004,Dominican Republic,2468.43678989514,70.331,9043127.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2005,Dominican Republic,3903.8152066628,70.875,9164768.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2006,Dominican Republic,4080.04573853712,71.165,9284168.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2007,Dominican Republic,4676.07905086376,71.371,9402206.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2008,Dominican Republic,5053.33028494248,71.658,9522948.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2009,Dominican Republic,5002.15316981585,71.871,9648061.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2010,Dominican Republic,5509.56803417837,72.093,9775755.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2011,Dominican Republic,5859.381524313,72.221,9903737.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2012,Dominican Republic,6049.47158709846,72.514,10030882.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2013,Dominican Republic,6171.29512670907,72.713,10157051.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2014,Dominican Republic,6533.67091082712,72.867,10282115.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2015,Dominican Republic,6838.93674590634,72.953,10405832.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2016,Dominican Republic,7191.06970308651,72.987,10527592.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2017,Dominican Republic,7513.49798180543,73.063,10647244.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2018,Dominican Republic,7947.15933093481,73.232,10765531.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2019,Dominican Republic,8173.34469885261,73.577,10881882.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2020,Dominican Republic,7167.91497432809,72.889,10999664.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2021,Dominican Republic,8476.74963892506,72.615,11117873.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2022,Dominican Republic,10111.2457110261,,11228821.0,DOM,Latin America & Caribbean ,Upper middle income,IBRD
2004,Ecuador,2703.56567057465,74.279,13534593.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2005,Ecuador,3014.3100093159,74.514,13770012.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2006,Ecuador,3340.84090289849,74.689,14009061.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2007,Ecuador,3579.03224391806,74.844,14251835.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2008,Ecuador,4260.43318396471,74.983,14496797.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2009,Ecuador,4240.70259271564,75.184,14742766.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2010,Ecuador,4640.24634437845,75.43,14989585.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2011,Ecuador,5202.65645902066,75.743,15237728.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2012,Ecuador,5678.45572070003,76.062,15483883.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2013,Ecuador,6050.3546113274,76.369,15722989.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2014,Ecuador,6374.6314856366,76.622,15957994.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2015,Ecuador,6130.58667556768,76.789,16195902.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2016,Ecuador,6079.08873612077,76.763,16439585.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2017,Ecuador,6246.40425217932,76.972,16696944.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2018,Ecuador,6321.34940071717,77.094,17015672.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2019,Ecuador,6233.25816692363,77.297,17343740.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2020,Ecuador,5645.19928965332,72.153,17588595.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2021,Ecuador,5965.13287054416,73.67,17797737.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2022,Ecuador,6391.28248430643,,18001000.0,ECU,Latin America & Caribbean ,Upper middle income,IBRD
2004,"Egypt, Arab Rep.",1016.25388395628,68.613,77522427.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2005,"Egypt, Arab Rep.",1133.10546057176,68.779,79075310.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2006,"Egypt, Arab Rep.",1332.33941000282,68.977,80629670.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2007,"Egypt, Arab Rep.",1586.47292057972,69.128,82218755.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2008,"Egypt, Arab Rep.",1941.89997269337,69.319,83844783.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2009,"Egypt, Arab Rep.",2212.21814788932,69.48,85501064.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2010,"Egypt, Arab Rep.",2509.77203417522,69.664,87252413.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2011,"Egypt, Arab Rep.",2645.6225349104,69.88,89200054.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2012,"Egypt, Arab Rep.",3059.13542779204,70.085,91240376.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2013,"Egypt, Arab Rep.",3088.8908340843,70.052,93377890.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2014,"Egypt, Arab Rep.",3196.86138078687,70.415,95592324.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2015,"Egypt, Arab Rep.",3370.38244716015,70.483,97723799.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2016,"Egypt, Arab Rep.",3331.61246134688,70.844,99784030.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2017,"Egypt, Arab Rep.",2439.96728439968,71.302,101789386.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2018,"Egypt, Arab Rep.",2531.20007864537,71.367,103740765.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2019,"Egypt, Arab Rep.",3017.25833578941,71.358,105618671.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2020,"Egypt, Arab Rep.",3571.5569065135,70.99,107465134.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2021,"Egypt, Arab Rep.",3886.7224983901,70.221,109262178.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2022,"Egypt, Arab Rep.",4295.40749561014,,110990103.0,EGY,Middle East & North Africa,Lower middle income,IBRD
2004,El Salvador,2273.95550275819,70.34,6035655.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2005,El Salvador,2434.32353117029,70.44,6037817.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2006,El Salvador,2651.43088765876,70.773,6034436.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2007,El Salvador,2814.58988893523,71.108,6044131.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2008,El Salvador,2964.172140237,71.424,6068099.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2009,El Salvador,2889.68588721937,71.576,6091188.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2010,El Salvador,3017.3073947577,71.848,6114034.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2011,El Salvador,3304.97418347889,71.859,6137349.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2012,El Salvador,3471.05126865498,71.831,6161289.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2013,El Salvador,3555.16209958481,71.771,6185642.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2014,El Salvador,3638.51765819162,71.746,6209526.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2015,El Salvador,3761.51368000275,71.814,6231066.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2016,El Salvador,3870.31298246063,72.025,6250510.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2017,El Salvador,3986.04901435439,72.311,6266654.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2018,El Salvador,4145.86235103186,72.555,6276342.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2019,El Salvador,4280.28840404719,72.559,6280217.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2020,El Salvador,3961.72663347599,71.061,6292731.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2021,El Salvador,4664.31122268385,70.748,6314167.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2022,El Salvador,5127.32166823012,,6336392.0,SLV,Latin America & Caribbean ,Upper middle income,IBRD
2004,Equatorial Guinea,5337.61438929676,55.036,826355.0,GNQ,Sub-Saharan Africa ,Upper middle income,IBRD
2005,Equatorial Guinea,9502.85881614782,55.464,864726.0,GNQ,Sub-Saharan Africa ,Upper middle income,IBRD
2006,Equatorial Guinea,11140.1901650513,56.046,905418.0,GNQ,Sub-Saharan Africa ,Upper middle income,IBRD
2007,Equatorial Guinea,13776.9033327262,56.54,948814.0,GNQ,Sub-Saharan Africa ,Upper middle income,IBRD
2008,Equatorial Guinea,19849.7177669705,57.074,994971.0,GNQ,Sub-Saharan Africa ,Upper middle income,IBRD
2009,Equatorial Guinea,14398.770485777,57.431,1043686.0,GNQ,Sub-Saharan Africa ,Upper middle income,IBRD
